BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,0,0,0
3.16,0,110.45,83.94,132.66,98.44
3.18,0,253.29,185.55,141.6,101.29
3.16,0,163.46,321.03,-122.19,140.82
3.16,0,38.29,463.88,-125.5,142.03
3.17,0,129.59,583.16,119.48,116.08
3.17,0,263.6,698.02,132.88,114.63
3.17,0,159.04,812.89,-139.15,116.69
3.17,0,17.67,930.7,-143.47,117.72
3.17,0,-108.97,1045.56,-121.45,114.64
3.17,0,-232.67,1160.43,-123.52,114.59
3.17,0,-123.7,1276.76,142.03,117.68
3.16,0,25.03,1396.05,150.42,117.29
3.17,0,147.26,1322.41,120.59,-101.78
3.16,0,266.54,1216.39,118.61,-106.42
3.16,0,175.24,1316.52,-127.43,140.2
3.17,0,45.65,1465.26,-129.68,147.82
3.15,0,117.81,1613.99,101.77,153.67
3.16,0,226.78,1767.15,109.98,152.12
3.16,0,151.68,1659.64,-99.48,-145.92
3.16,0,50.07,1506.49,-102.59,-153.2
3.16,0,153.15,1379.85,136.34,-124.09
3.17,0,296,1256.15,139.39,-123.97
3.16,0,209.11,1338.61,-120.94,112.64
3.15,0,83.94,1456.42,-122.84,117.56
3.17,0,-67.74,1385.74,-156.69,-98.06
3.15,0,-225.31,1282.65,-157.65,-102.77
3.16,0,-337.23,1163.37,-107.11,-120.66
3.16,0,-444.73,1041.14,-106.99,-122.31
3.15,0,-565.49,917.44,-123.82,-122.71
3.16,0,-680.35,798.16,-117.72,-119.21
3.16,0,-568.43,865.9,146.82,97.52
3.16,0,-421.17,970.46,150.42,103.17
3.16,0,-297.47,893.88,120.29,-102.55
3.15,0,-178.19,789.33,119.27,-104.44
3.16,0,-273.91,889.46,-126.53,133.59
3.15,0,-403.5,1026.42,-130.64,137.13
3.17,0,-488.91,967.51,-56.81,-71.77
3.16,1,-496.27,957.2,-1.01,-1.35
3.16,2,-466.82,999.91,34.9,60.2
3.17,3,-466.82,999.91,0.27,0.48
3.16,3,-466.82,999.91,0,0
3.17,3,-466.82,999.91,0,0
3.17,3,-465.35,1001.38,1,3.03
3.1,4,-503.64,957.2,-80,-94.2
3.16,4,-652.37,849.7,-109.85,-29.63
3.16,4,-706.86,857.07,-35.44,0.33
3.17,4,-767.24,920.39,-84.58,88.01
3.16,0,-852.65,963.09,-82.56,-27.83
3.16,0,-921.86,873.26,-24.68,-88.88
3.16,0,-837.92,786.38,84.32,-88.46
3.17,1,-770.18,718.64,31.78,-31.84
3.15,2,-765.76,720.11,6.96,1.85
3.16,2,-674.46,789.33,92.14,68.66
3.16,2,-591.99,865.9,84,75.15
3.16,1,-522.78,930.7,51.29,46.87
3.16,2,-522.78,930.7,0.37,0.33
3.15,2,-449.15,1002.86,78.61,74.4
3.16,3,-379.94,1067.65,47.1,45.38
3.16,3,-379.94,1067.65,0.37,0.35
3.17,3,-379.94,1067.65,0,0
3.17,3,-379.94,1067.65,0,0
3.17,4,-403.5,1041.14,-57.01,-64.52
3.16,4,-571.38,892.41,-157.44,-96.3
3.17,4,-665.62,988.13,-99.11,97.84
3.16,4,-761.35,1083.85,-96.41,96.45
3.15,0,-834.98,1163.37,-51.87,51.55
3.17,0,-753.98,1075.01,76.7,-86.36
3.15,0,-683.3,986.66,67.45,-89.38
3.16,0,-773.13,914.5,-87.26,-72.44
3.15,0,-851.18,843.81,-74.69,-72.51
3.15,1,-768.71,771.65,78.26,-71.24
3.16,1,-768.71,771.65,0.63,-0.59
3.17,2,-736.31,802.58,64.5,61.86
3.15,2,-656.79,879.16,78.47,75.33
3.16,2,-575.8,961.62,80.52,81.55
3.15,3,-565.49,971.93,1.4,1.29
3.17,3,-565.49,971.93,0.01,0.01
3.16,3,-565.49,971.93,0,0
3.17,3,-565.49,971.93,0,0
3.17,4,-715.69,799.63,-181.46,-209.66
3.16,4,-826.14,851.18,-95.66,91.99
3.16,4,-924.81,949.84,-98.77,99.82
3.15,4,-1017.58,1049.98,-96.18,103.79
3.15,0,-970.46,1126.56,82,77.57
3.16,0,-880.63,1066.18,86.96,-62.9
3.15,0,-798.16,1013.16,80.52,-49.26
3.16,0,-879.16,1067.65,-78.14,44.42
3.16,0,-963.09,1117.72,-79.85,44.48
3.15,0,-1013.16,1061.76,-54.66,-57.06
3.16,0,-1061.76,1010.22,-42.89,-48.59
3.16,0,-964.57,1095.63,99.35,89.72
3.16,0,-877.68,1183.99,79.72,86.59
3.16,0,-967.51,1253.2,-84.17,61.3
3.15,0,-1045.56,1316.52,-74.07,59.37
3.16,0,-983.71,1375.43,60.43,57.86
3.15,0,-920.39,1428.44,64.5,52.59
3.16,0,-823.2,1348.92,97.1,-79.64
3.15,0,-728.95,1270.87,93.41,-76.87
3.15,0,-647.95,1207.55,78.78,-61.8
3.15,0,-568.43,1153.06,78.94,-52.49
3.15,0,-496.27,1235.53,74.19,85.28
3.17,0,-430.01,1320.94,63,85.71
3.15,0,-490.38,1409.3,-60.22,87.69
3.16,0,-543.4,1496.18,-49.4,88.15
3.16,0,-447.68,1577.18,95.62,80.83
3.15,0,-351.96,1656.7,96.79,79.43
3.14,0,-250.35,1725.91,99.26,68.07
3.16,0,-157.57,1793.65,86.55,72.5
3.16,0,-228.26,1877.59,-66.13,81.1
3.16,0,-300.41,1958.59,-71.87,78.06
3.14,0,-349.01,2013.07,-50.4,51.95
3.14,0,-397.61,2058.72,-42.65,39
3.14,1,-410.86,2035.16,-1.58,-1.9
3.16,2,-394.66,2117.63,32.65,140.59
3.15,1,-321.03,2197.15,82.42,66.72
3.16,1,-321.03,2197.15,0.64,0.51
3.15,2,-251.82,2263.42,84.19,79.48
3.15,2,-169.35,2344.41,80.88,78.74
3.16,0,-83.94,2423.94,83,81.82
3.16,0,-47.12,2460.75,6.5,6.01
3.16,2,-47.12,2460.75,0.05,0.05
3.16,2,25.03,2534.38,77.75,79.82
3.15,2,106.03,2615.38,80.1,81.98
3.15,2,188.5,2697.84,82.74,80.28
3.15,2,272.43,2780.31,84.93,83.34
3.15,2,357.85,2864.25,82.3,84.23
3.16,2,438.84,2945.24,84.79,79.58
3.15,2,522.78,3027.71,85.3,83.27
3.15,3,564.01,3068.94,9.18,9.43
3.16,3,564.01,3068.94,0.06,0.07
3.17,3,564.01,3068.94,0,0
3.16,3,564.01,3068.94,0,0
3.13,4,493.33,2986.48,-137.86,-159.53
3.16,4,349.01,2908.43,-110.02,43.3
3.16,4,257.71,3002.68,-95.03,95.5
3.15,4,163.46,3102.81,-90.68,97.44
3.15,0,139.9,3185.28,56.76,75.8
3.14,0,75.1,3110.18,-69.68,-86.86
3.15,0,-2.95,3023.29,-78.41,-87.76
3.17,0,-58.9,2954.08,-53.5,-68.26
3.15,0,-113.39,2886.34,-57.23,-66.73
3.15,0,-139.9,2930.52,-23.92,50.67
3.16,0,-139.9,2933.46,-0.17,0.58
3.15,0,-85.41,2858.36,57.79,-79.5
3.16,0,-27.98,2783.25,54.66,-73.37
3.15,0,5.89,2823.02,9.72,21.03
3.15,0,5.89,2823.02,0.07,0.16
3.15,0,-63.32,2730.24,-76.31,-101.11
3.15,0,-150.21,2622.74,-90.35,-111.81
3.15,1,-70.69,2525.55,86.09,-93.7
3.16,0,-67.74,2522.6,1.17,-1.05
3.16,2,-67.74,2522.6,0.01,-0.01
3.15,3,-42.71,2540.27,3.99,2.27
3.16,3,-42.71,2540.27,0.03,0.02
3.15,3,-42.71,2540.27,0,0
3.16,3,-42.71,2540.27,0,0
3.15,3,-42.71,2540.27,0,0
3.15,0,-42.71,2540.27,0,0
3.17,1,-45.65,2534.38,-0.32,-0.64
3.16,2,-41.23,2540.27,2.3,3.02
3.15,2,-41.23,2540.27,0.02,0.02
3.16,3,-41.23,2540.27,0,0
3.16,3,-41.23,2540.27,0,0
3.15,3,-41.23,2540.27,0,0
3.16,3,-41.23,2540.27,0,0
3.06,4,-75.1,2500.51,-85.07,-97.26
3.15,4,-182.61,2307.6,-2.63,-155.2
3.16,4,-82.47,2201.57,99.76,-103.75
3.15,4,20.62,2098.49,101.66,-103.98
3.16,0,107.5,2007.18,60.99,-72.63
3.14,0,182.61,1954.17,72.7,-54.64
3.15,1,259.18,1914.41,74.62,-10.31
3.16,1,259.18,1917.35,0.66,0.23
3.15,2,337.23,1955.64,100.73,55.64
3.15,2,418.22,2033.69,79.42,81.82
3.16,3,444.73,2061.67,3.73,3.99
3.14,3,444.73,2061.67,0.03,0.03
3.16,3,444.73,2061.67,0,0
3.15,3,444.73,2061.67,0,0
3.14,4,337.23,1940.92,-153.84,-184.6
3.15,4,210.58,1936.5,-101.43,81.29
3.15,4,120.75,2029.27,-90.96,92.45
3.14,4,27.98,2130.88,-94.59,103.72
3.16,0,-45.65,2225.13,-63.91,92.92
3.15,0,-111.92,2319.38,-67.68,94.85
3.15,0,-182.61,2401.85,-71.55,74.3
3.16,1,-189.97,2410.68,-1.1,1.22
3.16,3,-187.02,2416.57,0.9,0.87
3.15,3,-187.02,2416.57,0.01,0.01
3.15,3,-187.02,2416.57,0,0
3.16,3,-187.02,2416.57,0,0
3.15,3,-187.02,2416.57,0,0
3.16,1,-169.35,2437.19,3.34,4.2
3.16,2,-148.73,2465.17,47.66,63.83
3.14,2,-73.63,2550.58,76.72,79.73
3.15,3,-30.93,2591.81,9.98,10.04
3.16,3,-30.93,2591.81,0.07,0.07
3.16,3,-30.93,2591.81,0,0
3.16,3,-30.93,2591.81,0,0
