BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR
2.81,5,485.97,95.72,-31.27,-33.97,-165.57,-120.42,-0.54,-0.55
2.82,5,468.29,83.94,-82.81,-67.76,-181.67,-126.23,-0.54,-0.55
2.82,5,450.62,70.69,-120.37,-89.37,-181.7,-136.28,-0.54,-0.55
2.83,5,434.42,58.9,-141.53,-103.07,-165.2,-120.14,-0.54,-0.55
2.82,5,422.64,47.12,-140.29,-110.01,-105.25,-120.29,-0.54,-0.55
2.83,5,409.39,35.34,-133.5,-111.25,-145.55,-116.44,-0.54,-0.55
2.82,5,393.19,23.56,-140.92,-114.97,-165.33,-120.24,-0.54,-0.55
2.82,5,376.99,11.78,-146.87,-117.56,-157.28,-114.39,-0.54,-0.55
2.81,5,359.32,-1.47,-156.2,-119.2,-180.24,-120.16,-0.54,-0.55
2.81,5,343.12,-13.25,-160.17,-119.37,-165.63,-120.46,-0.54,-0.55
2.82,5,332.81,-25.03,-151.97,-117.98,-105.1,-120.15,-0.54,-0.55
2.82,5,319.56,-35.34,-136.18,-117.17,-130.84,-101.76,-0.54,-0.55
2.82,5,303.36,-47.12,-143.14,-117.76,-164.77,-119.83,-0.54,-0.55
2.82,5,285.69,-60.38,-153.38,-118.74,-165.73,-120.53,-0.54,-0.55
2.82,5,268.02,-72.16,-160.17,-119.83,-176.51,-117.67,-0.54,-0.55
2.82,5,251.82,-83.94,-164.49,-119.91,-164.83,-119.88,-0.54,-0.55
2.81,5,238.56,-97.19,-160.31,-121.46,-131.42,-131.42,-0.54,-0.55
2.82,5,225.31,-108.97,-144.02,-120.62,-130.84,-130.84,-0.54,-0.55
2.82,5,217.95,-119.28,-137.54,-119.3,-87.41,-116.54,0.43,-0.56
2.81,5,229.73,-131.06,-60.61,-117.78,120.06,-105.05,0.43,-0.56
2.82,5,240.04,-142.84,5.43,-117.99,105.03,-120.03,0.43,-0.56
2.82,5,247.4,-154.63,34.66,-117.51,72.66,-116.25,0.43,-0.56
2.81,5,256.24,-166.41,54.33,-116.76,103.35,-118.11,0.43,-0.56
2.82,5,269.49,-178.19,80.35,-118.2,120.04,-105.04,0.43,-0.56
2.81,5,284.22,-191.44,102.43,-119.5,150.28,-120.22,0.43,-0.56
2.81,5,297.47,-203.22,114.98,-119.69,129.52,-129.52,0.43,-0.56
2.82,9,310.72,-215,122.35,-120.32,135.06,-120.06,0.43,-0.56
2.82,9,321.03,-223.84,125.94,-118.67,113.23,-84.92,0,0
2.7,9,326.92,-219.42,94.48,-79.22,58.17,43.63,1.13,1.13
2.72,9,344.59,-198.8,126,8.54,178.75,208.54,1.13,1.13
2.76,9,374.05,-173.77,164.56,92.16,290.07,246.56,1.13,1.13
2.69,9,390.24,-167.88,197.49,125.63,135.13,81.08,-1.16,-1.16
2.75,9,363.74,-187.02,77.58,33.6,-267.48,-208.04,-1.07,-1.07
2.78,9,331.34,-210.58,-73.6,-69.19,-315.71,-241.28,-0.92,-0.92
2.77,9,303.36,-232.67,-165.46,-131.49,-270.45,-210.35,-0.82,-0.82
2.8,9,275.38,-251.82,-205.71,-157.97,-283.03,-183.97,-0.69,-0.69
2.82,9,253.29,-268.02,-223.97,-162.96,-225.35,-165.26,-0.57,-0.57
2.82,9,235.62,-279.8,-213.22,-151.85,-164.59,-119.71,-0.45,-0.45
2.82,9,225.31,-290.11,-182.13,-134.61,-105.18,-105.18,-0.34,-0.34
2.81,5,219.42,-297.47,-137.46,-113.9,-60.15,-75.19,-0.34,-0.34
2.82,5,217.95,-304.83,-104.73,-98.47,-14.71,-73.54,0.55,-0.52
