BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR
0,0,0,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.82,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.78,0,1.47,-0,0,-0,0,-0,0,0
2.79,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.8,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
2.81,0,1.47,-0,0,-0,0,-0,0,0
