BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
3.11,0,706.86,131.06,-129.07,78.82
3.11,0,583.16,209.11,-117.34,77.61
3.11,0,619.97,254.76,8.23,9.07
3.11,0,619.97,254.76,0.06,0.07
3.11,0,683.3,209.11,95.27,-68.39
3.11,0,781.96,139.9,100.2,-70.84
3.12,0,843.81,94.25,19.12,-13.33
3.11,0,843.81,94.25,0.14,-0.1
3.11,0,908.61,35.34,110.38,-102.69
3.11,0,1038.2,-79.52,133.22,-114.98
3.11,0,1169.26,-192.91,126.66,-108.82
3.1,0,1307.69,-301.89,139.86,-110.94
3.11,0,1440.22,-393.19,128.44,-79.24
3.1,0,1565.4,-471.24,122.68,-78.04
3.1,0,1563.92,-453.57,-97.21,85.56
3.11,0,1447.59,-357.85,-117.83,89.84
3.11,0,1444.64,-272.43,74.3,75.28
3.1,0,1543.31,-200.28,91.32,71.6
3.11,0,1527.11,-213.53,-96.74,-73.27
3.11,0,1393.1,-303.36,-132.47,-90.73
3.11,0,1391.63,-403.5,93.16,-106.5
3.1,0,1512.38,-515.42,125.66,-112.34
3.11,0,1625.77,-622.92,114.25,-104.95
3.11,0,1731.8,-727.48,102.12,-104.35
3.11,0,1712.66,-714.22,-106.16,95.47
3.11,0,1565.4,-596.41,-148.06,116.54
3.11,0,1478.51,-621.45,-133.94,-83.4
3.1,1,1332.72,-720.11,-139.03,-97.58
3.11,0,1335.67,-715.69,0.74,2.71
3.11,0,1441.7,-611.14,109.87,103.14
3.11,0,1543.31,-513.94,92.8,98.44
3.1,0,1443.17,-614.08,-104.9,-99.16
3.11,0,1348.92,-708.33,-90.49,-96.41
3.11,0,1434.33,-639.12,29.46,22.98
3.11,0,1434.33,-639.12,0.22,0.17
3.11,0,1354.81,-580.21,-97.07,69.15
3.11,0,1263.51,-509.53,-100.44,71.63
3.1,0,1160.43,-413.81,-109.07,100.53
3.1,0,1054.4,-312.2,-98.36,101.8
3.11,0,1153.06,-228.26,144.75,80.57
3.1,1,1170.73,-215,2.51,1.66
3.09,3,1183.99,-207.64,4.65,2.59
3.11,0,1183.99,-207.64,0.03,0.02
3.1,0,1105.94,-164.93,-139.39,72.8
3.11,1,991.07,-103.08,-60.69,31.29
3.11,0,991.07,-103.08,-0.41,0.21
3.11,0,877.68,-8.84,-137.86,111.25
3.11,0,737.78,104.56,-140.85,115.48
3.11,0,617.03,191.44,-122.41,81.43
3.11,2,516.89,260.65,-85.85,54.53
3.11,0,583.16,332.81,98.3,105.99
3.11,0,678.88,447.68,104.52,115.3
3.11,0,784.91,556.65,120.91,108.34
3.11,0,898.3,664.15,104.53,108.63
3.11,0,1026.42,751.04,133.9,75.43
3.11,0,1160.43,824.67,139.42,74.04
3.1,0,1145.7,908.61,-79.5,86.95
3.11,0,1035.25,998.44,-105.5,90.58
3.11,0,911.55,964.57,-133.33,-93.56
3.11,0,784.91,861.48,-127.9,-103.84
3.1,0,671.52,873.26,-101.28,68.67
3.11,0,564.01,951.31,-102.34,77.39
3.11,0,589.05,1035.25,97.49,88.75
3.1,0,686.24,1123.61,107.08,88.44
3.1,0,631.75,1097.1,-128.44,-81.75
3.1,0,493.33,1001.38,-134.32,-96.41
3.11,0,531.62,901.24,126.2,-100.27
3.1,0,689.19,799.63,161.18,-103.37
3.11,0,836.45,702.44,145.41,-94.93
3.11,1,977.82,611.14,141.87,-92.5
3.11,0,924.81,580.21,-107.53,-62.57
3.11,0,868.85,547.82,-10.62,-6.28
3.1,0,824.67,513.94,-102.81,-75.88
3.11,0,695.08,412.33,-132.52,-101.62
3.11,0,577.27,315.14,-100.21,-91.91
3.11,1,536.03,282.74,-7.06,-5.4
3.11,2,536.03,282.74,-0.05,-0.04
3.11,0,550.76,290.11,1.24,0.61
3.11,0,483.02,237.09,-110.89,-89.73
3.11,0,349.01,138.43,-137.28,-99.88
3.11,0,231.2,50.07,-111.01,-81.18
3.1,0,131.06,-29.45,-104.17,-77.78
3.11,0,150.21,-7.36,96.95,92.65
3.1,0,287.16,106.03,137.86,114.82
3.1,0,288.63,212.06,-87.5,102.35
3.1,0,170.82,316.61,-119.82,104.74
3.1,0,61.85,321.03,-107.45,-64.98
3.11,0,-35.34,237.09,-105.45,-83.32
3.1,0,-22.09,150.21,87.69,-90.85
3.1,0,91.3,57.43,116.29,-93.86
3.11,0,91.3,64.8,-80.85,77.59
3.11,0,-11.78,160.52,-104.5,94.77
3.1,0,-4.42,144.32,91.47,-96.04
3.1,0,103.08,27.98,113.8,-116.62
3.1,0,73.63,-67.74,-125.1,-81.36
3.11,0,-79.52,-148.73,-150.39,-79.18
3.11,0,-89.83,-237.09,100.05,-98.99
3.1,0,36.82,-338.7,132.39,-101.25
3.1,1,45.65,-326.92,-66.91,91.93
3.1,0,42.71,-319.56,-0.79,1.38
3.1,1,-10.31,-272.43,-112.67,92.99
3.11,1,-19.14,-266.54,-1.44,1.2
3.11,1,-19.14,-266.54,-0.01,0.01
3.11,1,7.36,-268.02,32.4,-20.78
3.11,0,7.36,-268.02,0.26,-0.17
3.1,1,4.42,-265.07,-2.28,2.56
3.11,0,-45.65,-216.48,-8.03,8.61
3.11,1,10.31,-185.55,120.2,64.29
3.1,0,10.31,-185.55,1.08,0.54
3.11,0,129.59,-123.7,150.01,73.53
3.1,0,278.33,-48.6,147.54,73.23
3.1,0,182.61,-103.08,-143.1,-78.83
3.1,0,38.29,-185.55,-138.81,-80.6
3.11,0,139.9,-136.95,153.83,70.85
3.1,0,288.63,-61.85,156.98,74.72
3.1,0,390.24,38.29,99.31,105.95
3.1,0,480.07,142.84,97.68,104.21
3.11,0,385.83,86.88,-125.5,-86.42
3.1,0,245.93,-4.42,-143.75,-90.15
3.1,0,338.7,75.1,128.15,108.79
3.11,0,487.44,188.5,150.15,113.75
3.1,0,424.12,134.01,-102.17,-84.36
3.1,0,326.92,45.65,-105.65,-90.87
3.1,0,216.48,103.08,-104.53,81.93
3.11,0,95.72,185.55,-117.69,83.49
3.11,1,134.01,144.32,23.52,-23.51
3.11,0,134.01,144.32,0.2,-0.2
3.1,0,55.96,82.47,-137.72,-105.95
3.11,0,-88.36,-33.87,-143.26,-115.24
3.11,0,-213.53,-41.23,-95.44,52.14
3.11,0,-213.53,-41.23,-0.74,0.4
3.1,0,-262.13,2.95,-91.26,85.65
3.1,0,-382.88,106.03,-121.76,104.13
3.1,0,-499.22,201.75,-116.35,91.31
3.1,1,-581.69,270.96,-48.08,36.29
3.1,0,-605.25,253.29,-59.18,-44.76
3.11,0,-706.86,175.24,-106.85,-76.89
3.1,0,-818.78,89.83,-120.42,-94.32
3.1,0,-966.04,-14.73,-149.49,-104.99
3.11,0,-1097.1,-75.1,-118.28,10.94
3.1,0,-1226.69,14.73,-128.82,88.56
3.1,0,-1359.23,110.45,-137.16,100.69
3.1,0,-1487.35,213.53,-125.55,102.87
3.11,0,-1562.45,273.91,20.88,-12.55
3.1,0,-1441.7,182.61,111.05,-90.58
3.1,0,-1368.07,138.43,-7.08,26.38
3.1,0,-1469.68,248.87,-89.5,110.02
3.1,0,-1521.22,354.9,41.39,92.43
3.1,0,-1363.65,434.42,157.67,80.38
3.11,0,-1272.35,519.84,-3.49,93.67
3.1,0,-1366.59,627.34,-102.76,108.48
3.1,0,-1466.73,683.3,-114.61,-22.87
3.1,0,-1591.9,569.9,-124.27,-111.86
3.1,0,-1720.02,505.11,-126.75,5.26
3.1,0,-1839.3,591.99,-122.1,85.46
3.1,0,-1951.22,639.12,-95.15,-15.77
3.11,0,-2042.53,549.29,-78.13,-87.61
3.1,0,-2141.19,460.93,-94.1,-86.64
3.1,0,-2217.77,404.97,-25.75,-21.36
3.09,0,-2214.82,402.03,1.95,-2.17
3.11,0,-2147.08,351.96,18.38,-12.43
3.1,3,-2142.66,353.43,3.34,1.17
3.1,1,-2217.77,321.03,-143.17,-64.12
3.11,0,-2226.6,316.61,-1.82,-0.89
3.11,0,-2294.34,270.96,-133.3,-92.08
3.1,0,-2441.61,163.46,-146.57,-105.03
3.1,0,-2580.03,136.95,-128.72,49.55
3.1,0,-2693.42,216.48,-111.76,77.35
3.1,0,-2706.68,217.95,96.86,-70.56
3.1,0,-2582.98,123.7,119.5,-95.18
3.1,0,-2466.64,30.93,97.77,-84.19
3.1,0,-2369.45,-50.07,93.67,-81.3
3.1,0,-2379.76,-57.43,-124.8,64.27
3.1,0,-2532.91,30.93,-152.37,89.64
3.1,0,-2577.09,55.96,-5.47,3.05
3.1,0,-2684.59,161.99,-120.93,112.73
3.1,0,-2799.45,273.91,-107.59,112.27
3.1,0,-2921.68,197.33,-121.4,-86.5
3.1,0,-3043.91,108.97,-126.36,-89.21
3.1,0,-3141.1,173.77,-102.85,73.5
3.11,0,-3233.88,247.4,-102.21,76.44
3.1,0,-3149.94,188.5,83.79,-67.41
3.1,0,-3054.22,119.28,85.2,-68.87
3.1,0,-3158.77,212.06,-119.58,102.51
3.1,0,-3285.42,319.56,-121.8,106.95
3.11,0,-3426.79,241.51,-147.32,-88.17
3.1,0,-3565.22,153.15,-137.12,-89.09
3.1,0,-3440.04,66.27,149.44,-88.37
3.11,0,-3291.31,-19.14,149.76,-84.53
3.09,0,-3154.36,58.9,141.48,88.14
3.1,0,-3018.87,148.73,134.77,89.01
3.1,0,-3138.16,247.4,-140.28,100.61
3.09,0,-3270.69,347.54,-127.97,99.42
3.1,1,-3229.46,291.58,19.77,-24.32
3.1,0,-3229.46,291.58,0.14,-0.17
3.11,0,-3323.71,343.12,-148.04,78.31
3.1,0,-3472.44,425.59,-146.08,82.48
3.1,0,-3593.2,391.72,-109.05,-94.26
3.1,0,-3693.33,288.63,-107.68,-103.05
3.1,0,-3632.96,322.5,139.82,103.9
3.1,0,-3481.28,438.84,154.9,116.22
3.1,0,-3516.62,413.81,-133.8,-93.47
3.1,0,-3656.52,309.25,-136.91,-104.87
3.1,0,-3783.16,206.17,-122.78,-100.13
3.1,0,-3900.97,110.45,-122.9,-97.8
3.1,0,-3868.58,129.59,105.27,79.47
3.1,0,-3747.82,219.42,125.71,89.6
3.1,0,-3632.96,195.86,115.91,-78.99
3.09,0,-3526.93,101.61,100.88,-93.88
3.11,0,-3513.68,50.07,-7.13,-12.54
3.1,0,-3513.68,50.07,-0.05,-0.09
3.1,0,-3540.18,14.73,-57.29,-81.27
3.1,0,-3638.85,-94.25,-88.21,-108.54
3.1,0,-3678.61,-203.22,45.67,-108.41
3.1,0,-3588.78,-313.67,92.12,-110.92
3.1,0,-3575.53,-362.26,-84.13,26.33
3.08,0,-3724.26,-285.69,-149.4,76.24
3.1,0,-3877.41,-197.33,-154.46,103.33
3.09,0,-4023.2,-85.41,-142.11,112.91
3.1,0,-4164.57,-39.76,-125.22,-33.85
3.1,0,-4273.55,-119.28,-116.76,-81.2
3.1,0,-4381.05,-135.48,-114.77,65.05
3.1,0,-4494.44,-22.09,-103.65,111.63
3.1,0,-4541.56,83.94,45.39,98.21
3.09,0,-4431.12,179.66,108.25,95.71
3.1,0,-4403.14,209.11,-70.21,-56.49
3.1,0,-4550.4,103.08,-149.73,-105.24
3.1,0,-4612.25,67.74,46.35,55.68
3.1,0,-4507.69,175.24,109.03,107.69
3.1,0,-4484.13,216.48,-63.95,-40.44
3.1,0,-4631.39,126.65,-149.53,-89.01
3.09,0,-4760.99,98.67,-107.96,50.47
3.1,0,-4862.6,194.39,-88.27,93.18
3.1,0,-4896.47,282.74,69.14,80.12
3.09,0,-4772.77,356.37,129.55,74.96
3.1,0,-4731.53,438.84,-57.41,90.21
3.1,0,-4846.4,533.09,-119.76,95.07
3.1,0,-4881.74,565.49,58.42,-45.22
3.1,0,-4763.93,469.77,123.25,-97.19
3.09,0,-4650.54,374.05,111.07,-93.25
3.09,0,-4523.89,279.8,123.34,-94.45
3.09,0,-4404.61,188.5,117.72,-86.8
3.1,0,-4298.58,104.56,115.31,-83.24
3.09,0,-4192.55,85.41,116.36,60.11
3.1,0,-4082.11,191.44,101.45,105.54
3.09,0,-3964.3,234.15,115.15,-40.96
3.1,0,-3842.07,144.32,127.34,-89.28
3.1,0,-3721.31,51.54,122.27,-95.55
3.1,0,-3613.81,-42.71,101.75,-95.77
3.1,0,-3574.05,-141.37,-63.96,-104.03
3.09,0,-3705.12,-248.87,-134.32,-106.47
3.1,0,-3836.18,-291.58,-138.79,38.09
3.1,0,-3993.75,-204.69,-161.44,87.15
3.1,0,-4130.7,-119.28,-120.35,86.48
3.09,0,-4244.1,-33.87,-115.77,83.69
3.09,0,-4286.8,58.9,43.31,101.92
