BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
2.86,5,1285.6,-899.77,-138.87,-174.77
2.89,5,1104.47,-715.69,-196.04,215.11
2.99,5,1058.81,-751.04,-105.33,-132.92
2.99,5,1039.67,-705.39,-6.4,67.19
2.99,5,1039.67,-649.43,-0.05,46.73
3,9,1039.67,-633.23,-0,3.06
2.99,6,1069.12,-562.54,70.36,163.19
2.99,6,1186.93,-400.55,126.88,138.9
2.99,6,1325.36,-265.07,135.59,128.21
2.99,6,1415.19,-207.64,104.8,41.55
2.98,6,1519.75,-123.7,118.3,84.61
3.05,7,1549.2,-104.56,4.11,2.56
3.05,7,1549.2,-104.56,0.03,0.02
3.05,7,1549.2,-104.56,0,0
3.04,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.05,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.06,7,1549.2,-104.56,0,0
3.01,7,1549.2,-104.56,0,0
3.01,7,1549.2,-104.56,0,0
3.01,7,1549.2,-104.56,0,0
3.01,7,1549.2,-104.56,0,0
3,7,1549.2,-104.56,0,0
2.85,8,1453.48,-223.84,-165.47,-194.56
2.85,8,1257.62,-435.9,-192.75,-215.13
3,8,1245.84,-583.16,81.61,-116.01
3,8,1350.39,-695.08,106.08,-112.36
3,8,1453.48,-807,97.63,-110.94
2.85,8,1493.24,-852.65,-72.39,-94.01
2.85,8,1469.68,-889.46,-49.67,-47.62
3,5,1398.99,-951.31,-34.54,21.26
2.99,5,1398.99,-936.59,-0.24,2.09
3,5,1415.19,-966.04,30.03,-58.87
3,5,1452,-1035.25,40.46,-69.88
3,9,1457.9,-1044.09,-31.41,54.48
2.86,9,1484.4,-1019.05,-30.1,-29.94
2.96,6,1450.53,-1083.85,39.17,10.18
2.99,6,1615.47,-970.46,151.62,121.99
2.99,6,1749.47,-833.5,132.58,136.63
3,6,1870.23,-705.39,103.13,113.4
3.06,7,1877.59,-693.6,1.43,1.95
3.06,7,1877.59,-693.6,0.01,0.01
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.06,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.07,7,1877.59,-693.6,0,0
3.01,7,1877.59,-693.6,0,0
3.01,7,1877.59,-693.6,0,0
3.01,7,1877.59,-693.6,0,0
3.01,7,1877.59,-693.6,0,0
3.01,7,1877.59,-693.6,0,0
2.86,8,1821.63,-764.29,-112.69,-135.98
2.85,8,1628.72,-974.88,-187.94,-208.63
3.01,8,1555.09,-1145.7,43.46,-126.59
3,8,1656.7,-1256.15,103.23,-113.51
3,8,1759.78,-1368.07,99.28,-108.17
2.84,8,1843.72,-1400.46,55.21,18.42
2.85,8,1823.11,-1435.81,124.49,123.86
3,5,1728.86,-1555.09,-49.11,-77.76
3,5,1720.02,-1622.83,-1.35,-67.36
3,5,1720.02,-1687.62,-0.01,-58.83
3,9,1740.64,-1739.17,10.73,-19.77
2.99,6,1752.42,-1725.91,27.69,31.6
2.99,6,1886.43,-1594.85,132.83,129.8
2.99,6,2023.38,-1462.31,135.93,140.49
2.99,6,2147.08,-1354.81,110.44,77.13
3.06,7,2180.95,-1322.41,6.02,5.42
3.06,7,2180.95,-1322.41,0.05,0.04
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
